Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Sri Lanka,LKA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.9,3,3.1,,3.1,,,,,,,,3.6,,,,,
Lesotho,LSO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,1.3,,,,,,,,,,,
Lithuania,LTU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,9.760000229,9.220000267,,8.699999809,,8.1,8,8.1,6.8,6.8,6.75,7,,,,,,
Luxembourg,LUX,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,6.199999809,6.099999905,6,6,6.3,,,,5.6,5.6,5.4,,,,,,,
Latvia,LVA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,8.729999542,8.199999809,,7.800000191,,7.7,7.6,7.6,,6.4,5.32,5.9,,,,,,
"Macao SAR, China",MAC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Morocco,MAR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,0.800000012,,0.9,,0.87,1.1,,1.1,,,0.9,,,,,
Monaco,MCO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,16.46,13.8,,,,,
Moldova,MDA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.590000153,5.889999867,,6.699999809,,6.4,6.3,6.1,,6.2,,6.19,6.2,,,,,
Madagascar,MDG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,0.419999987,,,0.3,,,,,0.2,,,,,,,
Maldives,MDV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.700000048,,2.26,2.3,,2.6,,,,4.3,,,,,,,,
Mexico,MEX,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.100000024,1.100000024,1.100000024,1,1,,1.6,1.7,1.6,1.6,1.7,1.5,,,,,,
Marshall Islands,MHL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,2.7,2.7,,,,,,,
Mali,MLI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,0.3,,,0.6,,0.1,,,,,,,
Malta,MLT,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.480000019,4.960000038,,4.800000191,,7.5,7.6129,7.8,,4.9,4.5,4.44,4.8,,,,,
Myanmar,MMR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.7,,0.63,,,,0.6,,,,,,,,,,,
Montenegro,MNE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,4.2,4.1,4,,3.9,4,4,,,,,,
Mongolia,MNG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,7.5,,6,,6.4,6.11,,5.9,5.8,6.75,6.8,,,,,
Northern Mariana Islands,MNP,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,0.8,0.8,,,,0.7,,,,,,
Mauritania,MRT,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,0.4,,,,,,,,,,,
Mauritius,MUS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,3,,,3.3,,,3.4,,,,,,
Malawi,MWI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,1.1,,,,1.3,,,,,,
Malaysia,MYS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,1.8,,,,1.8,1.9,1.76,,1.8,1.8,1.79,1.9,,,,,
Namibia,NAM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,3.3,,,2.7,,,,,,,,
New Caledonia,NCL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Niger,NER,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,0.3,,,,,,,,,,,,
Nigeria,NGA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.2,,,,0.5,,,,,,,,,,,,,
Nicaragua,NIC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,0.899999976,0.9,0.9,1,0.9,0.9,,0.8,1.1,0.9,,,,,
Netherlands,NLD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.800000191,4.699999809,,5,,,,4.8,4.3,4.7,,,,,,,,
Norway,NOR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.799999952,,,,,4.2,4.1,3.9,3.5,3.3,3.3,3.3,,,,,,
Nepal,NPL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,0.2,0.15,,,,5,,,,,,,,,,,
Nauru,NRU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,3.5,,,3.5,,,5,,,,,,,
New Zealand,NZL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,6.2,,,,,,,,,2.3,,,,,,
Oman,OMN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,2,,,2.1,2.1,2.02,1.9,1.8,,,1.7,,,,,
Pakistan,PAK,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,0.7,,1.2,,1,0.6,0.6,0.6,,0.6,,,,,
Panama,PAN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,2.5,,2.4,2.2,,2.2,,2.2,2.4,2.2,,,,,,
Peru,PER,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,1.399999976,0.9,,,1.2,1.5,1.5,1.5,1.5,1.5,,,,,
Philippines,PHL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,1,0.5,,,,0.5,0.5,0.5,0.5,,1,,,,,,
Palau,PLW,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,5.9,5,,4.9,4.8,,,,,,,
Papua New Guinea,PNG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Poland,POL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.900000095,,5.599999905,,5.3,5.2,5.2,,6.6,6.7,6.59,6.5,,,,,,
Puerto Rico,PRI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
"Korea, Dem. People’s Rep.",PRK,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,13.2,,,,,,,,,,13.2,,,,,
Portugal,PRT,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.799999952,3.700000048,3.599999905,,3.7,3.7,3.5,,3.4,3.3,3.35,3.4,,,,,,
Paraguay,PRY,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,1.200000048,,,1.2,1.3,1.3,1.3,1.3,1.3,1.3,,,,,,
West Bank and Gaza,PSE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Qatar,QAT,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,2.400000095,,,2.4,2.52,,1.4,1.2,,,1.2,,,,,
Romania,ROU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.440000057,7.489999771,,6.599999905,,6.6,6.5,,,6.6,6.29,6.1,,,,,,
Russian Federation,RUS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,10.89000034,10.82999992,,10.5,9.9,9.7,9.7,,,,,,,,,,,
Rwanda,RWA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,1.7,,1.6,1.6,,,,,,,,,,
