Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Germany,DEU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.2,10.1,10.2,10.3,9.9,10.1,10,10.1,10.3,10.4,10.5,10.6,10.8,11.1,10.7,11.3,11.2,
Djibouti,DJI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.232,10.202,10.162,10.094,9.994,9.859,9.689,9.496,9.293,9.089,8.896,8.727,8.587,8.48,8.407,8.365,8.35,
Dominica,DMA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,,,7.2,,,,7.5,,,,8.230683091,,,,8.2,,,
Denmark,DNK,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.9,10.9,10.9,10.7,10.3,10.1,10.2,10.2,9.9,9.9,9.8,9.4,9.4,9.3,9.1,9.2,9.2,
Dominican Republic,DOM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.98,5.984,5.986,5.987,5.987,5.987,5.987,5.988,5.991,5.997,6.006,6.017,6.03,6.044,6.061,6.081,6.102,
Algeria,DZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.072,4.988,4.917,4.857,4.809,4.773,4.749,4.738,4.737,4.744,4.754,4.766,4.774,4.779,4.778,4.773,4.765,
Ecuador,ECU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.222,5.19,5.169,5.158,5.155,5.159,5.165,5.172,5.176,5.178,5.175,5.167,5.157,5.146,5.136,5.127,5.121,
"Egypt, Arab Rep.",EGY,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.487,6.447,6.422,6.403,6.384,6.36,6.333,6.303,6.273,6.241,6.206,6.166,6.121,6.071,6.017,5.963,5.909,
Eritrea,ERI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.295,10.948,10.628,10.318,10.013,9.71,9.409,9.114,8.829,8.554,8.288,8.03,7.778,7.535,7.299,7.071,6.854,
Spain,ESP,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.9,8.8,8.8,9.1,8.6,8.8,8.3,8.5,8.4,8.3,8.2,8.3,8.6,8.3,8.5,9.1,8.8,
Estonia,EST,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.2,13.3,13.3,13.2,13,12.8,12.9,13,12.5,12.1,11.9,11.5,11.7,11.6,11.8,11.6,11.7,
Ethiopia,ETH,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.015,13.484,12.918,12.321,11.703,11.077,10.462,9.872,9.323,8.825,8.388,8.015,7.698,7.426,7.195,6.997,6.825,
Fragile and conflict affected situations,FCS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.96849586,11.78648345,11.57817596,11.34751249,11.09882859,10.83804028,10.57097429,10.30413608,10.04779202,9.805382025,9.580407801,9.370215128,9.174450236,8.98772474,8.810665068,8.643619454,8.486324789,
Finland,FIN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.5,9.4,9.5,9.4,9.1,9.1,9.1,9.3,9.2,9.3,9.5,9.4,9.6,9.5,9.6,9.6,9.8,
Fiji,FJI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.077,6.131,6.193,6.257,6.321,6.382,6.437,6.488,6.536,6.583,6.632,6.685,6.747,6.818,6.9,6.992,7.091,
France,FRA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.9,8.8,8.8,9.1,8.3,8.5,8.3,8.3,8.5,8.5,8.5,8.4,8.7,8.7,8.5,8.9,8.8,
Faroe Islands,FRO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.7,7.7,8.3,8.5,7.9,8.6,8.7,7.9,7.9,8,7.2,8,8.5,7.6,8.1,7.7,7.6,
"Micronesia, Fed. Sts.",FSM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.319,6.332,6.343,6.349,6.349,6.342,6.331,6.316,6.301,6.286,6.272,6.259,6.247,6.237,6.228,6.223,6.222,
Gabon,GAB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.226,11.223,11.171,11.064,10.899,10.678,10.409,10.108,9.792,9.473,9.159,8.858,8.57,8.298,8.046,7.818,7.616,
United Kingdom,GBR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.3,10.2,10.2,10.2,9.7,9.6,9.4,9.4,9.4,9,8.9,8.7,8.9,9,8.8,9.2,9.1,
Georgia,GEO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.91,9.961,10.063,10.223,10.442,10.719,11.049,11.412,11.783,12.146,12.476,12.755,12.974,13.131,13.222,13.252,13.228,
Ghana,GHA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.701,10.649,10.555,10.426,10.267,10.086,9.892,9.695,9.503,9.32,9.148,8.983,8.819,8.652,8.483,8.314,8.146,
Gibraltar,GIB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.331,15.18,14.93,14.574,14.118,13.59,13.026,12.474,11.969,11.526,11.147,10.819,10.514,10.209,9.899,9.582,9.261,
"Gambia, The",GMB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.574,11.293,11.012,10.733,10.457,10.188,9.928,9.681,9.448,9.231,9.03,8.844,8.67,8.506,8.35,8.202,8.063,
Guinea-Bissau,GNB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.041,13.862,13.689,13.511,13.322,13.119,12.903,12.679,12.453,12.224,11.993,11.758,11.518,11.274,11.028,10.781,10.537,
Equatorial Guinea,GNQ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.988,13.697,13.422,13.159,12.904,12.654,12.401,12.144,11.883,11.62,11.361,11.115,10.89,10.689,10.509,10.344,10.186,
Greece,GRC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.7,9.4,9.5,9.7,9.6,9.6,9.6,9.9,9.7,9.8,9.8,10,10.6,10.2,10.4,11.2,11,
Grenada,GRD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.195,8.152,8.108,8.057,7.998,7.927,7.844,7.75,7.65,7.547,7.448,7.356,7.276,7.211,7.162,7.129,7.109,
Greenland,GRL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8,8.3,7.9,7.2,8.4,8.2,7.8,8,7.6,7.8,9,8.4,8.1,8,8.2,8.5,8.7,
Guatemala,GTM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.235,6.075,5.933,5.807,5.694,5.592,5.496,5.405,5.316,5.229,5.145,5.068,5,4.943,4.897,4.861,4.833,
Guam,GUM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.545,4.564,4.588,4.615,4.641,4.667,4.691,4.714,4.737,4.76,4.785,4.815,4.851,4.895,4.945,5.002,5.065,
Guyana,GUY,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.775,7.739,7.709,7.687,7.674,7.673,7.687,7.715,7.758,7.811,7.873,7.937,8.001,8.06,8.115,8.164,8.21,
"Hong Kong SAR, China",HKG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.1,5,5.1,5.5,5.4,5.7,5.5,5.7,6,5.9,6,6,6.1,6,6.2,6.3,6.4,
Honduras,HND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.273,5.208,5.152,5.103,5.057,5.015,4.975,4.939,4.908,4.882,4.86,4.843,4.829,4.818,4.811,4.806,4.804,
Croatia,HRV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.2,11.2,11.4,11.8,11.2,11.656,11.341,11.798,11.8,11.8,11.8,11.9,12.1,11.8,12,12.9,12.3,
Haiti,HTI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.901,10.755,10.607,10.455,10.295,10.125,9.946,9.762,9.578,9.399,9.23,9.077,8.942,8.827,8.732,8.655,8.594,
Hungary,HUN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.3,13,13.1,13.4,13.1,13.5,13.1,13.2,13,13,13,12.9,13,12.8,12.8,13.4,13,
Indonesia,IDN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.262,7.29,7.313,7.325,7.321,7.3,7.266,7.225,7.184,7.146,7.115,7.092,7.079,7.075,7.08,7.096,7.122,
India,IND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.692,8.56,8.435,8.316,8.199,8.084,7.967,7.852,7.739,7.632,7.534,7.451,7.385,7.339,7.312,7.303,7.31,
Ireland,IRL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.2,7.8,7.5,7.3,7,6.8,6.7,6.4,6.3,6.3,6.1,6.2,6.4,6.4,6.3,6.5,6.4,
"Iran, Islamic Rep.",IRN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.116,5.099,5.095,5.104,5.121,5.134,5.135,5.116,5.074,5.011,4.93,4.839,4.747,4.665,4.597,4.546,4.513,
